"loan_status","loan_amnt","int_rate","annual_inc","dti","delinq_2yrs","inq_last_6mths","pub_rec","revol_util","total_acc","term_36 months","term_60 months","region_Midwest","region_Northeast","region_South","region_West","grade_A","grade_B","grade_C","grade_D","grade_E","grade_F","grade_G","emp_length_0-3 years","emp_length_4-6 years","emp_length_7-9 years","emp_length_10+ years","home_ownership_MORTGAGE","home_ownership_OWN","home_ownership_RENT","verification_status_Not Verified","verification_status_Source Verified","verification_status_Verified","purpose_group_Big Purchase","purpose_group_Debt","purpose_group_Home","purpose_group_Medical/Other"
"Current",3000,0.1269,80000,17.94,0,0,0,0.539,38,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
"In Grace Period",10000,0.1596,29120,22.83,0,1,0,0.636,31,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
"Current",12500,0.1269,27000,16.04,0,3,0,0.5,24,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
"Current",14000,0.1727,28000,6.34,0,2,0,0.794,10,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
"Current",15300,0.2206,85000,20.58,0,2,0,0.897,27,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"Current",6000,0.1269,81000,13.66,1,0,0,0.5,17,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
"Current",16000,0.1727,50000,11.04,0,0,0,0.422,16,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
"Current",18825,0.1758,44000,24.98,0,0,0,0.932,20,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
"Current",12300,0.1349,30000,12.76,0,1,0,0.555,12,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
"Current",18000,0.1527,84000,11.41,0,3,0,0.832,23,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
"Current",20000,0.1465,56000,12.15,0,1,0,0.599,15,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
"Current",18000,0.1903,90000,11.32,0,1,0,0.852,16,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
"Current",20000,0.1065,175000,5.23,0,0,0,0.341,39,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
"Current",20000,0.1677,50000,22.82,0,1,0,0.567,22,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
"Current",20000,0.1269,85000,10.21,0,0,0,0.548,31,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
"Current",3000,0.1903,53004,10.73,1,2,0,0.794,12,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
"Current",17000,0.1527,65000,16.84,0,2,0,0.627,16,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
"In Grace Period",25975,0.1269,130000,26.13,0,0,0,0.772,29,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
"Current",6000,0.1758,30120,15.54,0,0,0,0.806,11,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
"Current",18000,0.1349,40900,13.7,0,1,0,0.626,19,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
"Current",20000,0.1269,49000,17.78,0,0,0,0.669,26,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
"Current",25000,0.1942,105000,21.13,0,0,0,0.853,42,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
"Current",25000,0.1427,85000,13.41,0,0,0,0.917,31,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
"Current",16100,0.1171,36000,27.8,0,0,0,0.46,33,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
"Current",15000,0.1171,72000,26.48,0,0,0,0.678,15,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
"In Grace Period",13000,0.2352,61000,11.65,0,1,0,0.921,14,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
"Current",18550,0.1942,45000,21.68,0,2,1,0.659,19,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
"Current",12000,0.1465,65000,14.44,0,2,0,0.478,21,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
"Current",18500,0.1903,68000,20.89,0,0,0,0.878,35,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
"Current",25000,0.1903,96000,16.19,0,2,0,0.585,33,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
"Current",16950,0.1677,50000,14.47,0,1,0,0.785,23,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
"Current",3000,0.1727,35000,11.42,0,1,0,0.665,15,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"Current",18000,0.1677,50000,21.22,0,1,0,0.776,15,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
"Current",21000,0.1825,110000,13.55,0,2,0,0.947,23,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
"Current",7600,0.1677,33996,16.52,0,2,0,0.727,21,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
"Current",25000,0.1427,89000,10.77,0,1,0,0.636,22,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
"Current",12000,0.1269,30000,10.44,0,0,0,0.786,11,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
"Current",7600,0.1677,50000,6.29,0,0,1,0.406,27,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
"Current",10000,0.1242,42336,10.18,0,0,0,0.662,16,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
"Current",35000,0.1242,90000,26.33,0,0,0,0.593,25,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
"Current",35000,0.1171,70000,19.42,0,0,0,0.449,25,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
"Current",14100,0.1758,43000,4.83,0,3,0,0.705,15,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
"Current",35000,0.1903,140000,4.29,2,2,0,0.754,39,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
"Current",25000,0.1903,95000,15.56,2,0,0,0.488,26,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
"Current",12000,0.1171,70000,21.17,0,1,0,0.777,23,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
"Current",15000,0.1677,42000,15.69,0,1,0,0.733,12,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
"Current",14000,0.1825,32000,16.28,0,2,0,0.87,13,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
"Current",12000,0.1349,75000,23.58,1,0,0,0.575,24,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
"Current",18000,0.1171,133224,10.97,0,0,0,0.463,30,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
"Current",12000,0.1427,41000,22.77,0,1,0,0.789,15,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
"Current",7000,0.1596,75000,21.66,0,1,0,0.886,30,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
"Current",21000,0.1465,70000,20.11,0,1,0,0.599,24,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
"Current",20000,0.203,51750,18.97,0,0,0,0.925,29,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
"Current",15500,0.1349,40000,11.19,0,2,0,0.57,8,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
"Current",8000,0.1171,88000,3.25,1,0,0,0.511,20,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
"Current",30000,0.203,75000,18.77,0,0,0,0.714,15,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
"Current",17475,0.079,90000,8.44,0,0,0,0.527,18,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
"Current",35000,0.1991,69000,9.41,0,2,0,0.707,17,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
"Current",22000,0.1942,82500,16.2,0,0,0,0.97,14,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"Current",12000,0.1942,68000,23.15,0,0,0,0.784,28,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
"Current",30000,0.2167,85000,11.44,0,2,0,0.973,20,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
"Current",28000,0.1465,160000,11.81,0,2,0,0.739,62,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
"Current",5000,0.1677,90000,3.92,0,0,0,0.831,16,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
"Current",14000,0.2089,76800,6.83,2,0,0,0.751,21,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
"Current",6000,0.1677,80000,9.09,0,1,0,0.654,26,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
"Current",35000,0.1242,66000,8.96,0,0,0,0.429,17,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
"Current",24500,0.1727,52000,13.85,0,0,0,0.954,19,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
"Current",20000,0.1864,50000,13.37,0,1,0,0.897,19,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
"In Grace Period",7100,0.1942,36000,23.13,0,1,0,0.939,25,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
"Current",18000,0.1465,36000,18.63,0,1,0,0.838,19,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
"Current",17000,0.1864,72000,14.65,0,1,0,0.766,23,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
"Current",21000,0.1991,94500,8.09,0,0,0,0.824,28,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
"Current",13000,0.1677,54000,16,0,1,0,0.658,19,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
"Current",8800,0.203,135000,8.77,0,1,0,0.882,24,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
"Late",20000,0.1942,116500,8.84,0,1,0,0.49,35,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
"Current",21000,0.1349,60000,11.34,0,0,0,0.535,21,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
"Current",20000,0.1677,108000,13.5,0,3,0,0.718,18,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
"Current",14000,0.089,46000,14.48,0,0,0,0.237,28,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
"Current",35000,0.2089,174000,5.32,0,1,0,0.265,22,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
"Current",22500,0.1269,45000,11.04,0,1,0,0.313,24,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
"Current",18250,0.2352,40000,19.2,1,0,0,0.983,16,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
"Current",12950,0.1065,31200,3.46,0,1,0,0.049,28,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
"Current",30000,0.0991,72000,1.07,0,0,0,0.186,37,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
"Current",7200,0.1727,103000,10.53,0,1,0,0.638,21,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
"Current",19500,0.1825,52470,17.56,0,0,0,0.72,17,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"Current",6350,0.1171,49200,4.71,0,0,0,0.246,10,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
"Current",14750,0.1677,30000,17.32,0,1,0,0.64,12,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
"Current",13475,0.089,26400,27.27,0,0,0,0,22,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
"Current",20000,0.1864,87000,9.31,2,1,0,0.884,32,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"Current",4800,0.1825,45000,13.81,0,0,0,0.906,19,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
"Current",25975,0.1903,50000,21.7,0,0,0,0.958,16,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
"Current",21200,0.1758,47000,24.05,0,1,0,0.809,28,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
"Current",20250,0.1527,39624,23.08,0,2,0,0.352,25,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
"Current",8400,0.1465,51008,8.14,0,1,0,0.829,10,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
"Current",20000,0.1171,35000,18.96,0,0,0,0.551,11,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
"Current",35000,0.1269,71000,17.09,0,0,0,0.431,13,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"Current",12000,0.1269,45000,9.23,0,1,0,0.39,9,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
"Current",17200,0.2089,52000,7.06,0,0,0,0.964,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
"Current",10400,0.1677,56004,9.86,0,1,0,0.542,25,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
"Current",35000,0.1171,78000,16.63,0,0,0,0.629,37,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
"Current",22000,0.1269,45000,15.81,0,1,0,0.273,14,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
"Current",6075,0.1727,46440,5.97,1,0,0,0.244,16,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
"Current",20000,0.1677,56500,20.73,0,1,0,0.593,29,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
"Current",22000,0.1349,75000,9.46,0,0,0,0.766,16,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
"Current",20000,0.1596,112000,10.53,1,3,0,0.686,20,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
"In Grace Period",20000,0.1242,55000,20.12,0,1,0,0.606,34,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
"Current",15000,0.1065,68004,23.13,0,0,0,0.225,40,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
"Current",18000,0.1864,132000,11.29,0,0,0,0.916,31,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
"Current",5375,0.1825,19200,11.56,0,1,0,0.813,7,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
"Current",12000,0.1758,83000,16.27,0,0,0,0.941,23,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
"Current",10000,0.1349,48500,25.51,0,1,0,0.597,22,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
"Current",22000,0.1465,93000,6.93,0,1,0,0.718,13,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
"Current",14000,0.1991,47000,11.31,0,1,0,0.716,18,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
"Current",35000,0.1427,65000,23.8,0,3,0,0.695,32,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
"In Grace Period",16000,0.1242,40000,12.39,0,0,0,0.859,27,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
"Current",20000,0.1427,80500,9.17,1,0,0,0.885,14,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
"Current",15250,0.1269,31200,26.62,0,0,0,0.83,15,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
"Current",16000,0.1727,57000,10.91,0,0,0,0.874,16,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
"Current",12000,0.1349,50000,10.61,0,2,0,0.658,17,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
"Current",22000,0.1269,91663,11.98,0,2,0,0.641,22,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
"Current",3000,0.1242,106800,6.6,0,5,0,0.007,46,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
"Current",16000,0.1349,62000,17.13,0,3,0,0.704,33,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
"Current",21000,0.1527,90000,13.23,0,1,0,0.494,18,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
"Current",3975,0.1758,42000,10.29,0,0,0,0.959,10,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
"Current",35000,0.1269,102000,16.58,0,0,0,0.894,23,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
"Current",16000,0.1527,99000,7.76,0,2,0,0.566,12,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"Current",20000,0.1527,110000,18.63,0,1,0,0.836,31,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
